"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6062987,9651011,"Satellite",4617850,"GPS","1/20/2019 10:00:00",28.0975,61.3165,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062988,9651011,"Satellite",4617850,"GPS","10/14/2018 10:00:00",39.77617,65.4195,26,352,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062989,9651011,"Satellite",4617850,"GPS","2/18/2019 2:00:00",28.10067,61.313,26,1373,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062991,9651011,"Satellite",4617850,"GPS","7/9/2019 4:00:00",40.48017,64.79517,26,272,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062992,9651011,"Satellite",4617850,"GPS","1/24/2019 16:00:00",28.0975,61.32483,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062993,9651011,"Satellite",4617850,"GPS","8/9/2018 2:00:00",39.75683,65.41467,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062994,9651011,"Satellite",4617850,"GPS","11/8/2018 22:00:00",33.7805,63.0125,26,2505,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062995,9651011,"Satellite",4617850,"GPS","8/7/2018 8:00:00",39.75167,65.4025,26,330,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062996,9651011,"Satellite",4617850,"GPS","5/24/2019 16:00:00",40.20033,64.06283,26,203,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062997,9651011,"Satellite",4617850,"GPS","4/10/2019 10:00:00",34.77267,60.9845,26,720,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062998,9651011,"Satellite",4617850,"GPS","3/8/2019 2:00:00",29.03683,61.61683,26,886,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6062999,9651011,"Satellite",4617850,"GPS","10/13/2018 10:00:00",39.75533,65.41783,26,337,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063000,9651011,"Satellite",4617850,"GPS","2/17/2019 6:00:00",28.09583,61.317,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063001,9651011,"Satellite",4617850,"GPS","7/9/2019 8:00:00",40.48083,64.79433,26,272,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063002,9651011,"Satellite",4617850,"GPS","2/18/2019 10:00:00",28.103,61.3125,26,1373,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063003,9651011,"Satellite",4617850,"GPS","8/30/2018 10:00:00",39.76817,65.38717,26,328,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063006,9651011,"Satellite",4617850,"GPS","8/8/2018 0:00:00",39.74917,65.40133,26,326,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063007,9651011,"Satellite",4617850,"GPS","5/31/2019 14:00:00",40.30783,64.19817,26,212,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063008,9651011,"Satellite",4617850,"GPS","5/24/2019 22:00:00",40.2005,64.06317,26,203,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
