"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6056539,9651010,"Satellite",16211,"GPS","7/29/2019 10:00:00",39.557,65.3145,26,275,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056541,9651010,"Satellite",16211,"GPS","10/26/2018 10:00:00",36.84283,64.11,26,550,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056542,9651010,"Satellite",16211,"GPS","3/12/2019 16:00:00",30.55233,64.9385,26,1059,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056543,9651010,"Satellite",16211,"GPS","9/29/2019 20:00:00",39.63867,65.36517,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056544,9651010,"Satellite",16211,"GPS","11/23/2018 14:00:00",30.54667,64.8865,26,1053,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056545,9651010,"Satellite",16211,"GPS","10/27/2018 22:00:00",36.8495,64.11417,26,550,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056546,9651010,"Satellite",16211,"GPS","12/7/2019 20:00:00",31.1155,64.68417,26,1109,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056548,9651010,"Satellite",16211,"GPS","3/15/2019 12:00:00",30.52467,64.94583,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056549,9651010,"Satellite",16211,"GPS","11/22/2018 18:00:00",30.54683,64.866,26,1056,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056550,9651010,"Satellite",16211,"GPS","12/29/2018 6:00:00",30.54483,65.12233,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056551,9651010,"Satellite",16211,"GPS","2/6/2019 18:00:00",30.57033,65.132,26,1125,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056553,9651010,"Satellite",16211,"GPS","7/30/2019 18:00:00",39.55683,65.307,26,274,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056556,9651010,"Satellite",16211,"GPS","12/28/2018 8:00:00",30.54817,65.12433,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056557,9651010,"Satellite",16211,"GPS","12/28/2018 12:00:00",30.54367,65.12067,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056558,9651010,"Satellite",16211,"GPS","5/30/2019 12:00:00",39.659,65.5445,26,353,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056559,9651010,"Satellite",16211,"GPS","5/29/2019 8:00:00",39.6595,65.536,26,351,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056560,9651010,"Satellite",16211,"GPS","6/27/2018 6:00:00",39.62167,65.4005,26,296,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056561,9651010,"Satellite",16211,"GPS","9/29/2019 22:00:00",39.63867,65.36517,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056562,9651010,"Satellite",16211,"GPS","10/27/2018 20:00:00",36.8495,64.11417,26,550,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056564,9651010,"Satellite",16211,"GPS","12/5/2019 20:00:00",31.108,64.68433,26,1114,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056565,9651010,"Satellite",16211,"GPS","3/13/2019 20:00:00",30.5465,64.961,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056566,9651010,"Satellite",16211,"GPS","7/30/2019 12:00:00",39.547,65.31233,26,272,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056567,9651010,"Satellite",16211,"GPS","3/29/2019 8:00:00",30.67183,65.05833,26,1076,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056568,9651010,"Satellite",16211,"GPS","10/26/2018 18:00:00",36.84583,64.11733,26,534,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056569,9651010,"Satellite",16211,"GPS","12/28/2018 2:00:00",30.54967,65.12317,26,1128,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056570,9651010,"Satellite",16211,"GPS","12/5/2019 10:00:00",31.11417,64.67733,26,1105,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056572,9651010,"Satellite",16211,"GPS","7/30/2019 22:00:00",39.55683,65.307,26,274,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056573,9651010,"Satellite",16211,"GPS","9/30/2019 14:00:00",39.6375,65.3665,26,280,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056575,9651010,"Satellite",16211,"GPS","7/30/2019 20:00:00",39.55683,65.307,26,274,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056576,9651010,"Satellite",16211,"GPS","10/27/2018 12:00:00",36.85117,64.11367,26,538,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
6056577,9651010,"Satellite",16211,"GPS","11/24/2018 2:00:00",30.5485,64.882,26,1055,"wild","unknown","Capture","alive",NA,2018,NA,NA,58618909,"22/05/2018 13:27:00",39.59969,65.36401,"Uzbekistan",NA,NA,NA
